Filename,X,Y,Neighbors
m337.svg,131.0,213.4,69 | 24 | 178 | 207 | 181 | 165
m338.svg,129.0,210.0,116 | 49 | 150 | 51
m339.svg,139.0,216.9,38 | 221 | 161 | 75
m340.svg,139.0,216.9,38 | 146 | 161 | 75
m341.svg,138.0,208.2,86 | 63
m342.svg,137.0,210.0,217 | 213 | 140 | 168
m343.svg,129.0,210.0,28 | 124 | 140
m344.svg,150.0,194.4,
m345.svg,134.0,211.7,141 | 151 | 169 | 144 | 79
m346.svg,127.0,216.9,124 | 96
m347.svg,135.0,213.4,115 | 213 | 86 | 160 | 220 | 202
m348.svg,138.0,211.7,135 | 38 | 86 | 202 | 113 | 67
m349.svg,146.0,215.1,26 | 33 | 14 | 142
m350.svg,147.0,216.9,115 | 195 | 10
m351.svg,152.0,222.1,135 | 195
m352.svg,139.0,216.9,104 | 142 | 94 | 199
m353.svg,138.0,218.6,54 | 202 | 104 | 119 | 50 | 36
m354.svg,135.0,216.9,102 | 123 | 39
m355.svg,139.0,220.3,11 | 157 | 74 | 26
m356.svg,139.0,220.3,19 | 157 | 11 | 26
m357.svg,139.0,220.3,19 | 157 | 50 | 26
m358.svg,139.0,220.3,19 | 157 | 158 | 26
m359.svg,139.0,220.3,19 | 26 | 158 | 115
m360.svg,139.0,220.3,132 | 38 | 158 | 115
m361.svg,137.0,220.3,158 | 132 | 213 | 76
